FrameNumber,ObjectNumber,Range,Velocity,PeakValue,x,y
1,1,3.9702,0.018551,0,3.507,1.861
1,2,5.6281,0.016601,0,5.3462,1.7588
1,3,7.5041,0.014488,0,7.3224,1.6415
1,4,7.635,0.019533,0,7.3926,1.9088
2,1,0.69806,0.00050074,0,0.64712,-0.26177
2,2,3.9702,0.018551,0,3.507,1.861
2,3,5.6281,0.016601,0,5.3462,1.7588
2,4,7.0678,0.066566,0,6.1209,-3.5339
2,5,7.5041,0.014488,0,7.3224,1.6415
2,6,7.635,0.019533,0,7.3926,1.9088
3,1,0.69806,0.00044607,0,0.65552,-0.23996
3,2,3.9702,0.018551,0,3.507,1.861
3,3,5.6281,0.016601,0,5.3462,1.7588
3,4,7.5041,0.014488,0,7.3224,1.6415
3,5,7.635,0.019533,0,7.3926,1.9088
4,1,0.69806,0.00044607,0,0.65552,-0.23996
4,2,3.9702,0.021085,0,3.4383,1.9851
4,3,5.6281,0.016601,0,5.3462,1.7588
4,4,7.5041,0.014488,0,7.3224,1.6415
4,5,7.635,0.019533,0,7.3926,1.9088
5,1,0.69806,0.00044607,0,0.65552,-0.23996
5,2,3.9702,0.021085,0,3.4383,1.9851
5,3,5.6281,0.016601,0,5.3462,1.7588
5,4,7.0678,0.066566,0,6.1209,-3.5339
5,5,7.5041,0.014488,0,7.3224,1.6415
5,6,7.635,0.019533,0,7.3926,1.9088
6,1,0.69806,0.00044607,0,0.65552,-0.23996
6,2,3.9702,0.021085,0,3.4383,1.9851
6,3,5.6281,0.016601,0,5.3462,1.7588
6,4,7.5041,0.014488,0,7.3224,1.6415
6,5,7.635,0.019533,0,7.3926,1.9088
7,1,0.69806,0.00044607,0,0.65552,-0.23996
7,2,3.9702,0.021085,0,3.4383,1.9851
7,3,5.6281,0.016601,0,5.3462,1.7588
7,4,7.5041,0.014488,0,7.3224,1.6415
7,5,7.635,0.019533,0,7.3926,1.9088
8,1,0.69806,0.00044607,0,0.65552,-0.23996
8,2,3.9702,0.021085,0,3.4383,1.9851
8,3,5.6281,0.016601,0,5.3462,1.7588
8,4,7.5041,0.014488,0,7.3224,1.6415
8,5,7.635,0.019533,0,7.3926,1.9088
9,1,0.69806,0.00039615,0,0.6631,-0.21814
9,2,0.87257,0.0010137,0,0.77077,-0.40902
9,3,3.9702,0.021085,0,3.4383,1.9851
9,4,5.6281,0.016601,0,5.3462,1.7588
9,5,7.0678,0.066566,0,6.1209,-3.5339
9,6,7.5041,0.014488,0,7.3224,1.6415
9,7,7.635,0.019533,0,7.3926,1.9088
10,1,0.69806,0.00039615,0,0.6631,-0.21814
10,2,3.9702,0.021085,0,3.4383,1.9851
10,3,5.6281,0.016601,0,5.3462,1.7588
10,4,7.0678,0.066566,0,6.1209,-3.5339
10,5,7.5041,0.014488,0,7.3224,1.6415
10,6,7.635,0.019533,0,7.3926,1.9088
11,1,0.69806,0.00039615,0,0.6631,-0.21814
11,2,0.87257,0.0010137,0,0.77077,-0.40902
11,3,3.9702,0.021085,0,3.4383,1.9851
11,4,5.6281,0.016601,0,5.3462,1.7588
11,5,7.0678,0.066566,0,6.1209,-3.5339
11,6,7.5041,0.014488,0,7.3224,1.6415
11,7,7.635,0.019533,0,7.3926,1.9088
12,1,0.69806,0.00039615,0,0.6631,-0.21814
12,2,0.87257,0.0010137,0,0.77077,-0.40902
12,3,3.9702,0.021085,0,3.4383,1.9851
12,4,5.6281,0.016601,0,5.3462,1.7588
12,5,7.5041,0.014488,0,7.3224,1.6415
12,6,7.635,0.02468,0,7.3268,2.1473
13,1,3.9702,0.021085,0,3.4383,1.9851
13,2,5.6281,0.016601,0,5.3462,1.7588
13,3,7.5041,0.014488,0,7.3224,1.6415
13,4,7.635,0.02468,0,7.3268,2.1473
13,5,1.5894,0.00020908,0,1.5676,-0.098165
13,6,0.4111,0.00015908,0,0.39247,-0.012271
14,1,0.69806,0.00039615,0,0.6631,-0.21814
14,2,0.87257,0.0010137,0,0.77077,-0.40902
14,3,3.9702,0.021085,0,3.4383,1.9851
14,4,5.6281,0.013477,0,5.4009,1.5829
14,5,7.0678,0.066566,0,6.1209,-3.5339
14,6,7.5041,0.014488,0,7.3224,1.6415
14,7,7.635,0.019533,0,7.3926,1.9088
15,1,0.69806,0.00044607,0,0.65552,-0.23996
15,2,3.9702,0.021085,0,3.4383,1.9851
15,3,5.6281,0.016601,0,5.3462,1.7588
15,4,7.0678,0.066566,0,6.1209,-3.5339
15,5,7.5041,0.010686,0,7.371,1.407
15,6,7.635,0.019533,0,7.3926,1.9088
15,7,0.4111,0.00016877,0,0.38958,-0.049082
16,1,0.69806,0.00044607,0,0.65552,-0.23996
16,2,3.9702,0.021085,0,3.4383,1.9851
16,3,5.6281,0.016601,0,5.3462,1.7588
16,4,7.0678,0.066566,0,6.1209,-3.5339
16,5,7.5041,0.014488,0,7.3224,1.6415
16,6,7.635,0.019533,0,7.3926,1.9088
16,7,0.36965,0.00018186,0,0.34058,0.07635
16,8,0.36965,0.00017039,0,0.34474,-0.054536
17,1,0.69806,0.00039615,0,0.6631,-0.21814
17,2,3.9702,0.021085,0,3.4383,1.9851
17,3,5.6281,0.016601,0,5.3462,1.7588
17,4,7.0678,0.066566,0,6.1209,-3.5339
17,5,7.5041,0.014488,0,7.3224,1.6415
17,6,7.635,0.02468,0,7.3268,2.1473
17,7,0.36965,0.00017039,0,0.34474,-0.054536
18,1,0.69806,0.00044607,0,0.65552,-0.23996
18,2,3.9702,0.021085,0,3.4383,1.9851
18,3,5.6281,0.016601,0,5.3462,1.7588
18,4,7.0678,0.066566,0,6.1209,-3.5339
18,5,1.0678,0.00015843,0,1.0035,0
18,6,0.36965,0.00017565,0,0.34284,0.065443
18,7,0.36965,0.00017565,0,0.34284,-0.065443
19,1,3.9702,0.021085,0,3.4383,1.9851
19,2,7.0678,0.066566,0,6.1209,-3.5339
19,3,1.8684,0.0018876,0,1.7406,0.57263
19,4,0.32877,0.00017459,0,0.298,0.066806
19,5,0.32877,0.0001614,0,0.30406,-0.028631
20,1,3.9702,0.021085,0,3.4383,1.9851
20,2,5.6281,0.016601,0,5.3462,1.7588
20,3,0.32877,0.00015876,0,0.30525,0.0095438
21,1,3.9702,0.021085,0,3.4383,1.9851
21,2,5.6281,0.020054,0,5.2851,1.9347
21,3,7.0678,0.066566,0,6.1209,-3.5339
21,4,0.28869,0.00016829,0,0.25543,0.057263
22,1,3.9702,0.021085,0,3.4383,1.9851
22,2,0.28869,0.00016568,0,0.25713,0.049082
23,1,3.9702,0.021085,0,3.4383,1.9851
23,2,7.0678,0.066566,0,6.1209,-3.5339
23,3,0.49962,0.00022601,0,0.41868,-0.12271
23,4,0.49962,0.00024186,0,0.41444,0.13634
23,5,1.7188,0.0026746,0,1.5548,0.69124
23,6,0.28869,0.00015923,0,0.26126,-0.016361
23,7,0.28869,0.00017856,0,0.24866,0.081804
24,1,3.9702,0.021085,0,3.4383,1.9851
24,2,7.0678,0.066566,0,6.1209,-3.5339
24,3,0.24981,0.00017175,0,0.20222,0.081804
24,4,0.24981,0.00015852,0,0.21804,0.006817
25,1,3.9702,0.021085,0,3.4383,1.9851
25,2,7.0678,0.066566,0,6.1209,-3.5339
25,3,0.86396,0.00037703,0,0.80262,0.20724
25,4,1.6757,0.00017256,0,1.6571,-0.051809
25,5,0.24981,0.0001588,0,0.21772,0.013634
26,1,3.9702,0.021085,0,3.4383,1.9851
26,2,7.0678,0.066566,0,6.1209,-3.5339
26,3,0.82219,0.00093916,0,0.6801,0.39266
26,4,1.6757,0.00015843,0,1.6579,0
26,5,0.24981,0.00017407,0,0.19933,0.088621
26,6,0.24981,0.00015852,0,0.21804,0.006817
27,1,3.9702,0.021085,0,3.4383,1.9851
27,2,7.0678,0.066566,0,6.1209,-3.5339
27,3,0.24981,0.00016435,0,0.21122,-0.054536
27,4,0.24981,0.00015926,0,0.21718,0.020451
28,1,4.0138,0.021549,0,3.4761,2.0069
28,2,0.78063,0.00068833,0,0.66694,0.32449
28,3,0.24981,0.0001588,0,0.21772,0.013634
28,4,0.24981,0.00016768,0,0.20722,-0.06817
29,1,0.21278,0.00015894,0,0.16178,-0.065443
29,2,0.21278,0.00015902,0,0.15946,0.070897
30,1,7.0242,0.057806,0,6.2047,-3.2926
30,2,0.21278,0.00015902,0,0.15946,-0.070897
31,1,0.21278,0.00015912,0,0.15693,0.07635
31,2,0.21278,0.00015912,0,0.15693,-0.07635
32,1,0.21278,0.00015843,0,0.17451,0
32,2,0.21278,0.00015912,0,0.15693,-0.07635
33,1,0.17875,0.00014732,0,0.1196,0.053172
34,1,0.13089,0.00014365,0,0.11562,0.061353
35,1,0.13089,0.00015521,0,0.12772,0.028631
36,1,0.13089,0.00015311,0,0.1256,0.036812
37,1,0.13089,0.00015186,0,0.12433,0.040902
39,1,0.087257,0.0001491,0,0.083735,0.024541
